observation_id,osm_id,ref,prediction_time,observation_window_end,source_url,source_publish_date,observation_status,observation_scope,evidence_note
nh37_open_2025_06_23_001,44884938,NH37,2025-06-23,2025-06-30,https://www.imphaltimes.com/news/landslides-block-nh-37-in-hill-areas-assam-manipur-highway-halted-for-hours/,2025-06-24,OPEN_AFTER_CLEARANCE,corridor_traffic_resumed,"Imphal Times reports NH-37 traffic restored after clearance; this row is a road-status control on a different mapped segment."
nh37_open_2025_06_23_002,44884943,NH37,2025-06-23,2025-06-30,https://www.imphaltimes.com/news/landslides-block-nh-37-in-hill-areas-assam-manipur-highway-halted-for-hours/,2025-06-24,OPEN_AFTER_CLEARANCE,corridor_traffic_resumed,"Imphal Times reports NH-37 traffic restored after clearance; this row is a road-status control on a different mapped segment."
nh37_open_2025_06_23_003,44884944,NH37,2025-06-23,2025-06-30,https://www.imphaltimes.com/news/landslides-block-nh-37-in-hill-areas-assam-manipur-highway-halted-for-hours/,2025-06-24,OPEN_AFTER_CLEARANCE,corridor_traffic_resumed,"Imphal Times reports NH-37 traffic restored after clearance; this row is a road-status control on a different mapped segment."
nh37_open_2025_06_23_004,44884966,NH37,2025-06-23,2025-06-30,https://www.imphaltimes.com/news/landslides-block-nh-37-in-hill-areas-assam-manipur-highway-halted-for-hours/,2025-06-24,OPEN_AFTER_CLEARANCE,corridor_traffic_resumed,"Imphal Times reports NH-37 traffic restored after clearance; this row is a road-status control on a different mapped segment."
nh6_open_2024_06_20_001,44769003,NH6,2024-06-20,2024-06-27,https://meghalaya.gov.in/sites/default/files/press_release/Press_Release_251.pdf,2024-06-18,OPEN_AFTER_CLEARANCE,corridor_traffic_normal,"Meghalaya government reports NH-6 landslides at named locations cleared within hours and vehicular movement normal."
nh6_open_2024_06_20_002,44880793,NH6,2024-06-20,2024-06-27,https://meghalaya.gov.in/sites/default/files/press_release/Press_Release_251.pdf,2024-06-18,OPEN_AFTER_CLEARANCE,corridor_traffic_normal,"Meghalaya government reports NH-6 landslides at named locations cleared within hours and vehicular movement normal."
nh6_open_2024_06_20_003,44880799,NH6,2024-06-20,2024-06-27,https://meghalaya.gov.in/sites/default/files/press_release/Press_Release_251.pdf,2024-06-18,OPEN_AFTER_CLEARANCE,corridor_traffic_normal,"Meghalaya government reports NH-6 landslides at named locations cleared within hours and vehicular movement normal."
nh6_open_2024_06_20_004,44880833,NH6,2024-06-20,2024-06-27,https://meghalaya.gov.in/sites/default/files/press_release/Press_Release_251.pdf,2024-06-18,OPEN_AFTER_CLEARANCE,corridor_traffic_normal,"Meghalaya government reports NH-6 landslides at named locations cleared within hours and vehicular movement normal."
nh10_open_2024_08_04_001,47416222,NH10,2024-08-04,2024-08-11,https://www.sikkimexpress.com/news-details/landslides-disrupt-nh10-vehicles-taking-alternative-routes,2024-08-03,OPEN_AFTER_CLEARANCE,corridor_single_lane,"Sikkim Express reports NH-10 affected spots cleared/open to single-lane traffic; this is a corridor status observation, not a claim of permanent absence."
nh10_open_2024_08_04_002,47416223,NH10,2024-08-04,2024-08-11,https://www.sikkimexpress.com/news-details/landslides-disrupt-nh10-vehicles-taking-alternative-routes,2024-08-03,OPEN_AFTER_CLEARANCE,corridor_single_lane,"Sikkim Express reports NH-10 affected spots cleared/open to single-lane traffic; this is a corridor status observation, not a claim of permanent absence."
nh10_open_2024_08_04_003,47416232,NH10,2024-08-04,2024-08-11,https://www.sikkimexpress.com/news-details/landslides-disrupt-nh10-vehicles-taking-alternative-routes,2024-08-03,OPEN_AFTER_CLEARANCE,corridor_single_lane,"Sikkim Express reports NH-10 affected spots cleared/open to single-lane traffic; this is a corridor status observation, not a claim of permanent absence."
nh10_open_2024_08_04_004,47416238,NH10,2024-08-04,2024-08-11,https://www.sikkimexpress.com/news-details/landslides-disrupt-nh10-vehicles-taking-alternative-routes,2024-08-03,OPEN_AFTER_CLEARANCE,corridor_single_lane,"Sikkim Express reports NH-10 affected spots cleared/open to single-lane traffic; this is a corridor status observation, not a claim of permanent absence."
nh29_open_2024_09_03_001,44886115,NH29,2024-09-03,2024-09-10,https://www.easternmirrornagaland.com/kohima-dimapur-highway-fully-reopens-after-landslide-closure,2024-09-03,FULLY_REOPENED,corridor_traffic_resumed,"Eastern Mirror reports the Kohima-Dimapur NH-29 fully reopened after landslide clearance."
nh29_open_2024_09_03_002,44886116,NH29,2024-09-03,2024-09-10,https://www.easternmirrornagaland.com/kohima-dimapur-highway-fully-reopens-after-landslide-closure,2024-09-03,FULLY_REOPENED,corridor_traffic_resumed,"Eastern Mirror reports the Kohima-Dimapur NH-29 fully reopened after landslide clearance."
nh29_open_2024_09_03_003,44886117,NH29,2024-09-03,2024-09-10,https://www.easternmirrornagaland.com/kohima-dimapur-highway-fully-reopens-after-landslide-closure,2024-09-03,FULLY_REOPENED,corridor_traffic_resumed,"Eastern Mirror reports the Kohima-Dimapur NH-29 fully reopened after landslide clearance."
nh29_open_2024_09_03_004,44886119,NH29,2024-09-03,2024-09-10,https://www.easternmirrornagaland.com/kohima-dimapur-highway-fully-reopens-after-landslide-closure,2024-09-03,FULLY_REOPENED,corridor_traffic_resumed,"Eastern Mirror reports the Kohima-Dimapur NH-29 fully reopened after landslide clearance."
nh102b_open_2025_06_10_001,242642545,NH102B,2025-06-10,2025-06-17,https://www.thehillsjournal.com/multiple-landslides-along-ccpur-mizoram-road-chief-association-provides-helpline-numbers/,2025-06-02,OPEN_AFTER_CLEARANCE,corridor_traffic_resumed,"The Hills Journal reports debris clearance and resumed vehicles on the NH-102B Manipur-Mizoram corridor."
nh102b_open_2025_06_10_002,242643689,NH102B,2025-06-10,2025-06-17,https://www.thehillsjournal.com/multiple-landslides-along-ccpur-mizoram-road-chief-association-provides-helpline-numbers/,2025-06-02,OPEN_AFTER_CLEARANCE,corridor_traffic_resumed,"The Hills Journal reports debris clearance and resumed vehicles on the NH-102B Manipur-Mizoram corridor."
nh102b_open_2025_06_10_003,242645609,NH102B,2025-06-10,2025-06-17,https://www.thehillsjournal.com/multiple-landslides-along-ccpur-mizoram-road-chief-association-provides-helpline-numbers/,2025-06-02,OPEN_AFTER_CLEARANCE,corridor_traffic_resumed,"The Hills Journal reports debris clearance and resumed vehicles on the NH-102B Manipur-Mizoram corridor."
nh102b_open_2025_06_10_004,242646805,NH102B,2025-06-10,2025-06-17,https://www.thehillsjournal.com/multiple-landslides-along-ccpur-mizoram-road-chief-association-provides-helpline-numbers/,2025-06-02,OPEN_AFTER_CLEARANCE,corridor_traffic_resumed,"The Hills Journal reports debris clearance and resumed vehicles on the NH-102B Manipur-Mizoram corridor."
nh2_open_2025_08_29_001,44886100,NH2,2025-08-29,2025-09-05,https://www.easternmirrornagaland.com/kohima-mao-road-reopens-at-phesama-after-restoration-traffic-allowed-under-strict-regulations,2025-08-23,REOPENED_REGULATED,corridor_traffic_resumed,"Eastern Mirror reports NH-2 reopened for regulated traffic after restoration at Phesama; this row is a different mapped segment from the confirmed affected rows."
nh2_open_2025_08_29_002,44886101,NH2,2025-08-29,2025-09-05,https://www.easternmirrornagaland.com/kohima-mao-road-reopens-at-phesama-after-restoration-traffic-allowed-under-strict-regulations,2025-08-23,REOPENED_REGULATED,corridor_traffic_resumed,"Eastern Mirror reports NH-2 reopened for regulated traffic after restoration at Phesama; this row is a different mapped segment from the confirmed affected rows."
nh2_open_2025_08_29_003,44886104,NH2,2025-08-29,2025-09-05,https://www.easternmirrornagaland.com/kohima-mao-road-reopens-at-phesama-after-restoration-traffic-allowed-under-strict-regulations,2025-08-23,REOPENED_REGULATED,corridor_traffic_resumed,"Eastern Mirror reports NH-2 reopened for regulated traffic after restoration at Phesama; this row is a different mapped segment from the confirmed affected rows."
nh2_open_2025_08_29_004,129815384,NH2,2025-08-29,2025-09-05,https://www.easternmirrornagaland.com/kohima-mao-road-reopens-at-phesama-after-restoration-traffic-allowed-under-strict-regulations,2025-08-23,REOPENED_REGULATED,corridor_traffic_resumed,"Eastern Mirror reports NH-2 reopened for regulated traffic after restoration at Phesama; this row is a different mapped segment from the confirmed affected rows."
