event_id,event_date,event_type,state,location_name,latitude,longitude,affected_road,source,severity,notes
reliefweb_4224972,2026-08-10,landslide/flood,Assam,,,,https://reliefweb.int/report/india/situation-report-6-extreme-weather-events-india-assam-odisha-and-kerala-date-8th-august-2026,Sphere India,candidate_not_yet_confirmed,"Situation Report 6 - Extreme Weather Events in India - Assam, Odisha and Kerala (Date: 8th August 2026)"
reliefweb_4224648,2026-08-06,landslide/flood,Assam,,,,https://reliefweb.int/report/india/india-assam-floods-dref-operation-no-mdrin029,IFRC,candidate_not_yet_confirmed,India: Assam Floods - DREF Operation no. MDRIN029
reliefweb_4224439,2026-08-05,landslide/flood,Assam,,,,https://reliefweb.int/report/india/india-floods-2026-situation-report,HAI,candidate_not_yet_confirmed,India Floods 2026 Situation Report
reliefweb_4224123,2026-08-02,landslide/flood,Assam,,,,https://reliefweb.int/report/india/situation-report-5-extreme-weather-events-india-assam-odisha-gujarat-kerala-and-maharashtra-date-2nd-august-2026,Sphere India,candidate_not_yet_confirmed,"Situation Report 5 - Extreme Weather Events in India - Assam, Odisha, Gujarat, Kerala and Maharashtra (Date: 2nd August 2026)"
reliefweb_4223790,2026-07-30,landslide/flood,Assam,,,,https://reliefweb.int/report/india/ind-flood-07-2026-assam-flood-2026-2026-07-30,IFRC|Indian Red Cross,candidate_not_yet_confirmed,IND: Flood - 07-2026 - Assam Flood 2026 (2026-07-30)
reliefweb_4223343,2026-07-28,landslide/flood,Assam,,,,https://reliefweb.int/report/india/saarathi-alert-assam-floods-2026-27-july-2026,HAI,candidate_not_yet_confirmed,Saarathi Alert - Assam Floods 2026 (27 July 2026)
reliefweb_4222439,2026-07-22,landslide/flood,Arunachal Pradesh,,,,https://reliefweb.int/report/india/situation-report-3-foods-and-landslides-india-assam-arunachal-pradesh-jammu-kashmir-nagaland-sikkim-and-uttarakhand-date-21st-july-2026,Sphere India,candidate_not_yet_confirmed,"Situation Report 3 - Foods and landslides In India - Assam, Arunachal Pradesh, Jammu & Kashmir, Nagaland, Sikkim and Uttarakhand (Date: 21st July 2026)"
reliefweb_4222009,2026-07-19,landslide/flood,Assam,,,,https://reliefweb.int/report/india/situation-report-2-flood-situation-assam-and-mizoram-date-18th-july-2026,Sphere India,candidate_not_yet_confirmed,Situation Report 2 - Flood Situation in Assam and Mizoram (Date: 18th July 2026)
reliefweb_4221712,2026-07-16,landslide/flood,Assam,,,,https://reliefweb.int/report/india/situation-report-1-flood-situation-assam-and-mizoram-date-16th-july-2026,Sphere India,candidate_not_yet_confirmed,Situation Report 1 - Flood Situation in Assam and Mizoram (Date: 16th July 2026)
reliefweb_4175379,2025-09-12,landslide/flood,Sikkim,,,,https://reliefweb.int/report/india/india-landslide-imd-noaa-cpc-media-echo-daily-flash-12-september-2025,ECHO,candidate_not_yet_confirmed,"India - Landslide (IMD, NOAA-CPC, media) (ECHO Daily Flash of 12 September 2025)"
reliefweb_4163288,2025-07-07,landslide/flood,Manipur,,,,https://reliefweb.int/report/india/local-disaster-response-plan-manipur-flood-2025-07-july-2025,HAI,candidate_not_yet_confirmed,LOCAL Disaster Response Plan - Manipur Flood 2025 (07 July 2025)
reliefweb_4161624,2025-06-27,landslide/flood,Assam,,,,https://reliefweb.int/report/india/india-severe-weather-and-floods-ndmi-imd-india-media-echo-daily-flash-27-june-2025,ECHO,candidate_not_yet_confirmed,"India - Severe weather and floods (NDMI, IMD India, media) (ECHO Daily Flash of 27 June 2025)"
reliefweb_4157454,2025-06-06,landslide/flood,Assam,,,,https://reliefweb.int/report/india/india-floods-northeast-dg-echo-dg-echo-partners-asdma-ndmi-sphere-india-imd-echo-daily-flash-6-june-2025,ECHO,candidate_not_yet_confirmed,"India - Floods in Northeast (DG ECHO, DG ECHO Partners, ASDMA, NDMI, Sphere India, IMD) (ECHO Daily Flash of 6 June 2025)"
reliefweb_4156968,2025-06-04,landslide/flood,Assam,,,,https://reliefweb.int/report/india/situation-report-2-rainfall-north-east-india-date-4-june-2025-time-1000am,Sphere India,candidate_not_yet_confirmed,"Situation Report 2 - Rainfall in North East India, Date: 4 June 2025, Time: 10:00AM"
reliefweb_4156962,2025-06-04,landslide/flood,Assam,,,,https://reliefweb.int/report/india/001-local-situation-report-northeast-india-floods-04-june-2025,HAI,candidate_not_yet_confirmed,001 LOCAL Situation Report - Northeast India Floods- 04 June 2025
reliefweb_4156674,2025-06-03,landslide/flood,Arunachal Pradesh,,,,https://reliefweb.int/report/india/india-severe-weather-and-floods-update-ndmi-media-imd-echo-daily-flash-3-june-2025,ECHO,candidate_not_yet_confirmed,"India - Severe weather and floods, update (NDMI, media, IMD) (ECHO Daily Flash of 3 June 2025)"
reliefweb_4156422,2025-06-02,landslide/flood,Arunachal Pradesh,,,,https://reliefweb.int/report/india/india-floods-dg-echo-dg-echo-partners-sphere-india-disaster-management-department-india-media-echo-daily-flash-2-june-2025,ECHO,candidate_not_yet_confirmed,"India - Floods (DG ECHO, DG ECHO partners, Sphere India, Disaster Management Department in India, media) (ECHO Daily Flash of 2 June 2025)"
reliefweb_4156318,2025-06-01,landslide/flood,Arunachal Pradesh,,,,https://reliefweb.int/report/india/situation-report-1-rainfall-north-east-india-date-1-june-2025-time-1000pm,Sphere India,candidate_not_yet_confirmed,"Situation Report 1 - Rainfall in North East India, Date: 1 June 2025, Time: 10:00PM"
