event_id,event_date,event_type,state,district,location_name,latitude,longitude,affected_road,source,severity,duration_days
ner_2017_001,2017-07-14,landslide,Nagaland,Kohima,Viswema Village,25.558,94.103,NH-29 (Kohima-Dimapur-Manipur link),nagalandpost.com,high,14
ner_2022_001,2022-06-30,landslide,Manipur,Noney,Tupul railway construction site (near Ijei river),24.780,93.510,NH-37 corridor (Jiribam-Imphal),imphaltimes.com/nagalandpost.com,high,
ner_2022_002,2022-06-16,landslide,Meghalaya,East Jaintia Hills,Lumshnong-Ratacherra 50-km stretch,25.190,92.404,NH-6,theshillongtimes.com,high,14
ner_2023_001,2023-10-04,flood,Sikkim,Mangan,South Lhonak lake outburst (Chungthang downstream),27.608,88.645,NH-10 (washed out at multiple points),nenow.in/eastmojo.com,high,30
ner_2023_002,2023-07-01,landslide,Meghalaya,East Jaintia Hills,Sonapur tunnel section,25.190,92.420,NH-6 (Jowai-Ratacherra),theshillongtimes.com,high,
ner_2024_001,2024-09-04,landslide,Nagaland,Chumoukedima,Pherima & Pagla Pahar (6 killed),25.650,93.905,NH-29 (Dimapur-Kohima),nagalandpost.com,high,7
ner_2024_002,2024-09-04,landslide,Nagaland,Chumoukedima,Tseipama-Piphema,25.610,93.870,NH-29,nagalandpost.com,medium,2
ner_2024_003,2024-09-12,landslide,Nagaland,Chumoukedima,Pagala Pahar (multiple locations),25.630,93.900,NH-29,nagalandpost.com,high,3
ner_2024_004,2024-08-18,landslide,Nagaland,Kohima,Dzudza Bridge (Sechu Zubza) KM163+980-164+030,25.690,94.020,NH-29 (Kohima-Dimapur),eastmojo.com/nenow.in,high,21
ner_2024_005,2024-08-18,landslide,Nagaland,Kohima,Kiruphema-Peducha,25.720,93.990,NH-29,nagalandpost.com,high,14
ner_2024_006,2024-09-09,landslide,Nagaland,Kohima,Old KMC dumping site,25.670,94.100,NH-29,eastmojo.com,medium,3
ner_2024_007,2024-06-20,landslide,Meghalaya,East Jaintia Hills,Jowai-Malidor (7 critical locations),25.436,92.193,NH-6,theshillongtimes.com,high,
ner_2024_008,2024-08-22,flood,Tripura,South Tripura,Udaipur-Sabroom section,23.240,91.640,NH-8 (damaged, landslips),nhidcl.com/Reuters,high,10
ner_2025_001,2025-06-01,landslide,Nagaland,Kohima,Kisama (near Naga Heritage Village) KM192.050-192.150,25.600,94.110,NH-2 (Kohima-Mao),imphaltimes.com,high,10
ner_2025_002,2025-06-04,landslide,Nagaland,Kohima,Phesama-Kisama,25.580,94.130,NH-2,ipr.nagaland.gov.in,high,7
ner_2025_003,2025-03-15,landslide,Manipur,Tamenglong,Nungdalal (Nungba PS),24.650,93.350,NH-37 (Imphal-Silchar),nenow.in,medium,0.4
ner_2025_004,2025-06-03,landslide,Manipur,Churachandpur,Guite Road (multiple sites, 93 state-wide),24.300,93.600,NH-102B (Churachandpur-Aizawl),nenow.in,medium,3
ner_2025_005,2025-07-29,landslide,Manipur,Churachandpur,Chiangpi-D. Khawzim,24.200,93.450,NH-102B (Churachandpur-Aizawl),nenow.in,high,7
ner_2025_006,2025-07-29,flood,Sikkim,Namchi (29 Mile, Teesta),Teesta embankment breach at 29 Mile,26.950,88.570,NH-10,nenow.in,high,2
ner_2025_007,2025-07-29,landslide,Sikkim,Pakyong,Bardang (Singtam-Rangpo),27.210,88.530,NH-10,nenow.in,high,2
ner_2025_008,2025-07-29,landslide,Sikkim,Gangtok,Singtam-Dikchu Road (Tintek Khola, Kokaley),27.260,88.560,Singtam-Dikchu Road,nenow.in,medium,3
ner_2025_009,2025-07-29,landslide,Sikkim,Namchi,Phongla (Namthang-Namchi),27.150,88.370,Namthang-Namchi Road,nenow.in,medium,3
